"U","Li","Co","K","Cs","Sc","Ti"
0.544068,1.568202,1.033424,4.211121,1.662758,0.838849,3.573104
0.591065,1.342423,1.167317,4.343999,1.919078,0.934498,3.37767
0.531479,1.414973,1.012837,4.222196,1.851258,0.90309,3.69688
0.633468,1.342423,1.064458,4.164353,1.845098,0.908485,3.661907
0.568202,1.20412,1.012837,4.218536,1.732394,0.763428,3.438542
0.732394,1.146128,0.851258,4.153205,1.845098,0.845098,3.597146
0.60206,1.477121,1.053078,4.238297,1.919078,0.924279,3.698535
0.633468,1.380211,0.995635,4.352375,1.838849,0.763428,3.652343
0.556303,1.39794,1.049218,4.303844,2,1.060698,3.749582
0.414973,1.60206,1.330414,4.19201,2.012837,1.257679,3.675503
0.880814,1.414973,0.875061,4.322012,1.851258,0.845098,3.551572
0.531479,1.414973,1.139879,4.318481,1.897627,0.995635,3.621488
0.39794,1.491362,1.348305,4.070776,1.690196,1.332438,3.622835
0.431364,1.623249,1.371068,4.083861,1.944483,1.227887,3.701568
0.447158,1.477121,1.021189,4.197005,1.869232,1.045323,3.816308
0.39794,1.255273,1.292256,4.144263,1.80618,1.32838,3.767007
0.255273,1.380211,1.292256,4.137671,1.812913,1.40654,3.843855
0.278754,1.380211,1.326336,3.969556,1.995635,1.403121,3.771073
0.342423,1.531479,1.346353,4.146438,1.934498,1.376577,3.828467
0.462398,1.431364,1.334454,4.244525,1.869232,1.278754,3.884625
0.447158,1.447158,1.30963,4.190612,1.886491,1.227887,3.743275
0.50515,1.50515,1.20412,4.211654,1.991226,1.173186,3.778296
0.518514,1.39794,0.944483,4.213783,1.924279,0.924279,3.686368
0.50515,1.30103,1.049218,4.283527,1.908485,0.963788,3.721563
0.518514,1.431364,1.173186,4.30298,2.037426,0.986772,3.75618
0.623249,1.579784,1.068186,4.260071,1.875061,1.041393,3.750663
0.50515,1.477121,0.959041,4.330819,1.78533,0.826075,3.483016
0.380211,1.491362,1.012837,4.180126,1.763428,1,3.511349
0.568202,1.342423,1.243038,4.079543,2.004321,1.25042,3.736157
0.544068,1.20412,1.049218,4.203033,1.919078,0.875061,3.552911
0.591065,1.255273,1.130334,4.260548,1.80618,0.819544,3.49038
0.50515,1.39794,0.986772,4.309843,1.863323,0.892095,3.665393
0.414973,1.255273,1.292256,4.182129,2.017033,1.120574,3.838408
0.518514,1.079181,1.08636,4.196176,1.863323,0.934498,3.618466
0.230449,1.544068,1.225309,4.103804,1.755875,1.155336,3.920645
0.431364,1.342423,0.799341,4.30103,1.716003,0.740363,3.476976
0.491362,1.30103,1.08636,4.119915,1.977724,0.959041,3.610554
0.462398,1.30103,0.977724,4.280806,1.869232,0.897627,3.663135
0.50515,1.518514,1.232996,4.24279,1.908485,1.176091,3.892651
0.146128,0.778151,1.342423,4.028164,1.792392,1.330414,3.978317
0.662758,1.255273,1.09691,4.358506,2.0086,0.986772,3.772688
0.633468,1.39794,1.161368,4.31576,2.117271,0.991226,3.857513
0.653213,1.176091,1.068186,4.247728,2.012837,0.982271,3.832062
0.662758,1.322219,1.113943,4.316809,1.939519,0.851258,3.800098
0.612784,1.30103,1.181844,4.302114,2.071882,1.120574,3.812913
0.69897,1.255273,1.212188,4.251638,2.173186,1.123852,3.858898
0.50515,1.892095,1.079181,4.26031,1.832509,1.09691,3.948853
0.491362,2,1.127105,4.295567,1.70757,1.093422,3.962275
0.491362,1.748188,1.143015,4.343212,1.845098,1.136721,3.971322
0.653213,1.20412,1.143015,4.264818,2.060698,0.995635,3.757927
0.643453,1.591065,0.897627,4.273001,1.875061,0.908485,3.617734
0.770852,1.230449,1.041393,4.340047,1.963788,0.968483,3.624488
0.732394,1.322219,1.082785,4.250176,2.004321,0.939519,3.706632
0.633468,1.653213,1.075547,4.361917,2.041393,0.995635,3.620968
0.591065,1.361728,1.103804,4.31534,2.08636,0.944483,3.668386
0.643453,1.544068,0.991226,4.274389,1.880814,0.869232,3.676876
0.361728,1.60206,1.418301,4.017033,1.672098,1.332438,3.745933
0.477121,1.556303,1.257679,4.145507,1.770852,1.158362,3.79699
0.591065,1.230449,0.986772,4.281033,1.977724,0.892095,3.612042
0.491362,0.954243,1.017033,4.140194,1.748188,0.913814,3.632255
0.763428,1.792392,1.1959,4.371622,1.845098,1.045323,3.726972
0.591065,1.556303,1,4.242541,1.995635,0.929419,3.670524
0.612784,1.361728,1.155336,4.305996,1.929419,1.037426,3.831166
0.716003,1.544068,1.311754,4.056142,2.517196,1.240549,4.222196
0.770852,1.322219,0.857332,4.221153,1.913814,0.875061,3.681964
0.968483,1.30103,1.158362,4.327155,2.004321,0.908485,3.644143
0.838849,1.672098,1.340444,4.180986,2.684845,1.139879,4.13226
0.612784,1.414973,1.11059,4.265054,1.939519,1.0086,3.743118
0.845098,1.755875,1.404834,4.227887,2.793092,1.209515,4.131298
0.623249,1.447158,1.064458,4.300161,1.934498,1.004321,3.704494
0.342423,1.991226,1.045323,3.785472,2.064458,0.944483,3.895533
0.60206,1.544068,1.09691,4.290702,1.977724,1.021189,3.742725
0.623249,1.361728,1.285557,4.197005,2.230449,1.230449,3.949683
0.462398,1.681241,1.053078,4.15564,1.857332,0.959041,3.630835
0.50515,1.278754,0.908485,4.069668,1.740363,0.653213,3.524266
0.716003,1.78533,1.170262,4.113943,2.164353,1.225309,3.938169
0.491362,1.748188,1.025306,4.295787,1.845098,1.060698,3.663512
0.447158,1.431364,1.079181,3.972804,1.633468,0.812913,3.543447
0.568202,1.518514,1.075547,4.262925,1.886491,0.94939,3.669596
0.491362,1.968483,1.09691,4.34986,2.152288,1.033424,3.931509
0.462398,1.80618,1.049218,4.299943,1.875061,1.064458,3.677698
0.544068,1.414973,1.103804,4.15351,2.243038,0.963788,3.559548
0.845098,1.361728,1.029384,4.235528,2.025306,1.037426,3.796574
0.556303,1.531479,1.117271,4.355834,1.959041,0.94939,3.718169
0.748188,1.30103,1.079181,4.353724,1.851258,0.944483,3.706632
0.623249,1.716003,1.045323,4.205475,2.012837,0.919078,3.691965
1.009451,1.968483,1.136721,4.281033,2.117271,1.103804,3.606059
0.474216,1.755875,0.740363,4.216694,1.763428,0.799341,3.639885
0.872156,1.633468,1.176091,4.249198,2.409933,1.324282,4.06558
0.631444,1.380211,1.164353,4.350054,2.155336,1.146128,3.661907
0.537819,1.30103,0.991226,4.198657,2.184691,1.053078,3.699144
0.549003,1.491362,0.944483,4.109916,1.995635,1.0086,3.688242
0.960946,1.477121,1.079181,4.381656,2.4843,1.093422,3.880471
0.781755,1.491362,1.049218,4.335257,2.363612,1.176091,3.89254
1.293804,1.60206,0.934498,4.323871,2.294466,0.90309,3.586587
0.958086,1.612784,0.991226,4.311118,2.20412,1.071882,3.747645
0.834421,1.633468,1.075547,4.374932,2.164353,1.056905,3.76537
1.170262,1.342423,0.934498,4.203033,2.503791,1.093422,3.78597
1.275772,1.113943,1.193125,4.188928,2.468347,1.281033,4.11227
1.453318,1.579784,1.056905,4.317646,2.338456,1.037426,3.6861
1.43664,1.579784,1.100371,4.29292,2.290035,1.093422,3.923762
1.372912,1.477121,1.11059,4.248219,2.563481,1.198657,3.941462
1.011993,1.681241,1.08636,4.370513,2.30103,1.045323,3.722634
1.07664,1.491362,1.045323,4.432809,2.330414,1.041393,3.657438
0.754348,1.681241,1.053078,4.32695,2.278754,1.178977,3.924228
0.752048,1.556303,1.012837,4.419295,2.201397,1.201397,3.861654
0.778151,1.716003,1.276462,4.292699,2.399674,1.432969,4.02735
1.01157,1.544068,1.136721,4.265761,2.421604,1.322219,4.033826
1.101403,1.278754,1.056905,4.35526,2.164353,0.991226,3.7406
0.988559,1.462398,0.963788,4.340444,2.267172,1.201397,3.90124
0.925828,1.851258,1.225309,4.309843,2.489958,1.431364,3.860817
1.246252,0.90309,1.033424,4.267406,2.432969,1.193125,3.931204
1.063709,1.278754,1.155336,4.289143,2.338456,1.033424,3.950219
0.818885,1.380211,1.093422,4.344196,2.127105,0.977724,3.757396
1.071145,1.30103,1.220108,4.351989,2.378398,0.959041,3.898615
0.64836,1.518514,0.875061,4.472171,2.033424,0.929419,3.629002
0.71265,1.591065,0.977724,4.447158,2.093422,0.892095,3.656482
1.445293,1.322219,1,4.334454,2.201397,1.012837,3.750354
1.118595,1.491362,1.017033,4.33726,2.342423,1.079181,3.849235
0.844477,1.579784,0.986772,4.243038,2.235528,1.217484,3.847202
